datetime,depth,temp,cond,chl,ntu,cdom,o2,o2temp
4b3e8c6e,ffd9,57b1,0000,002d,0042,003e,6a09,5914
4b3e8c72,ffd9,57b2,0000,0031,0045,0033,6a07,5916
4b3e8c76,ffd9,57b2,0000,0030,0041,0026,6a09,591a
4b3e8c7a,ffd9,57b2,0000,0034,0042,0040,69fe,591e
4b3e8c7e,ffd9,57b2,0000,002f,0043,0034,6a03,5921
4b3e8c82,ffd8,57b3,0000,0033,003f,0036,6a04,5923
4b3e8c86,ffd9,57b3,0000,0032,0041,003d,6a00,5927
4b3e8c8a,ffd8,57b4,0000,0034,0047,0039,6a03,592b
4b3e8c8e,ffd8,57b4,0000,0035,0042,002c,6a00,592e
4b3e8c92,ffd7,57b4,0000,0032,0046,002f,69fb,5931
4b3e8c96,ffd7,57b5,0000,0031,0042,0049,69fa,5935
4b3e8c9a,ffd7,57b5,0000,002d,0046,003e,6a02,5937
4b3e8c9e,ffd7,57b5,0000,0030,0046,002d,69f5,593a
4b3e8ca2,ffd8,57b6,0000,0031,0042,0024,69f8,593d
4b3e8ca6,ffd7,57b6,0000,0032,0040,003e,69f3,5941
4b3e8caa,ffd7,57b7,0000,002c,0043,004b,69f0,5945
4b3e8cae,ffd7,57b6,0000,0032,0040,003e,69ef,5948
4b3e8cb2,ffd7,57b7,0000,0032,0040,003c,69ef,594b
4b3e8cb6,ffd7,57b8,0000,0028,0041,003d,69ed,594e
4b3e8cba,ffd6,57b8,0000,0032,0049,0044,69eb,5951
4b3e8cbe,ffd7,57b9,0000,002a,003f,003e,69e6,5954
4b3e8cc2,ffd7,57b9,0000,002c,0040,003e,69ea,5957
4b3e8cc6,ffd6,57b9,0000,002d,0046,0036,69e7,595a
4b3e8cca,ffd6,57ba,0000,002d,0044,0028,69e7,595c
4b3e8cce,ffd7,57ba,0000,0037,0044,002c,69e8,595e
4b3e8cd2,ffd6,57ba,0000,0033,0043,0047,69e4,5962
4b3e8cd6,ffd6,57bb,0000,0030,004b,002f,69da,5966
4b3e8cda,ffd6,57bb,0000,0032,0044,002d,69e3,5968
4b3e8cde,ffd6,57bc,0000,0035,0043,003d,69df,5969
4b3e8ce2,ffd5,57bb,0000,002b,0043,0046,69e0,596d
4b3e8ce6,ffd6,57bc,0000,0031,004b,0032,69d7,5971
4b3e8cea,ffd6,57bc,0000,0032,0040,002e,69e1,5974
4b3e8cee,ffd5,57bc,0000,0034,0043,0028,69d5,5977
4b3e8cf2,ffd5,57bd,0000,002f,0045,003e,69d4,597a
4b3e8cf6,ffd5,57be,0000,0032,0041,0040,69d7,597e
4b3e8cfa,ffd5,57bd,0000,002e,0043,0039,69d3,5980
4b3e8cfe,ffd5,57be,0000,002f,0044,003e,69db,5982
4b3e8d02,ffd5,57be,0000,0032,0043,0047,69d2,5985
4b3e8d27,ffd4,57cf,0000,002e,0043,0038,69b9,599b
4b3e8d3b,ffd5,57d4,0000,0032,0041,002b,69ba,599f
4b3e8d4f,ffd4,57d7,0000,002f,0042,0022,69b6,59a7
4b3e8d63,ffd4,57db,0000,0030,0043,0028,69b8,59ad
4b3e8d77,ffd4,57dd,0000,002b,0041,003d,69b2,59b4
4b3e8d8b,ffd3,57df,0000,0032,004a,0030,69b1,59b7
4b3e8d9f,ffd3,57e2,0000,0030,0046,0035,69b2,59bd
4b3e8db3,ffd2,57e4,0000,0033,003f,0040,69b0,59c3
4b3e8dc7,ffd2,57e6,0000,0030,0047,0033,69a5,59c9
4b3e8ddb,ffd2,57e8,0000,0032,0040,0041,699f,59cd
4b3e8def,ffd1,57ea,0000,0032,0044,0031,699e,59d0
4b3e8e03,ffd1,57eb,0000,0033,004a,003e,699f,59d4
4b3e8e17,ffd0,57ed,0000,0035,0040,0020,69a3,59d5
4b3e8e2b,ffd0,57f0,0000,0030,0045,0029,699d,59da
4b3e8e3f,ffd3,57f1,0000,0032,0046,0041,699c,59de
4b3e8e53,ffd2,57f3,0000,002d,0045,002b,6997,59e3
4b3e8e67,ffd2,57f5,0000,002b,0046,0030,699c,59e2
4b3e8e7b,ffd1,57f7,0000,0032,0042,003a,6998,59e8
4b3e8e8f,ffd1,57f9,0000,0030,0042,0040,6999,59ec
4b3e8ea3,ffd0,57fa,0000,0032,0049,0035,6995,59ee
4b3e8eb7,ffd0,57fd,0000,0032,004c,0036,698f,59f1
4b3e8ecb,ffd0,57fd,0000,002d,0047,0031,6994,59f4
4b3e8edf,ffd0,57ff,0000,0031,0042,003d,698c,59f8
4b3e8ef3,ffcf,5801,0000,0034,003f,003d,698f,59fb
4b3e8f07,ffcf,5802,0000,0031,0042,002a,698e,59fe
4b3e8f1b,ffcf,5805,0000,0032,0041,0036,698b,5a02
4b3e8f2f,ffcf,5806,0000,0033,003d,003b,698d,5a05
4b3e8f43,ffcf,5807,0000,002d,0045,0037,6986,5a08
4b3e8f57,ffce,5809,0000,0036,0048,002e,6989,5a0a
4b3e8f6b,ffce,580b,0000,0030,0044,0031,6986,5a0c
